sep=;



Timestamp;RMS velocitz spectrum ISO 10816 Y [mm/s];RMS acceleration Y [mg];RMS acceleration envelope Y [mg];RMS raw data with frequencz brands Y [mg];Kurtosis method Y [[1]];Peak to peak Y [mg];Crest factor Y [[1]];Analog raw input Y [mg];
2026 03 12 12:13:15:246;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:248;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:250;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:252;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:254;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:256;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:258;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:260;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:262;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:264;0,26;11;2;11,22;0,63;36,83;3,28;-15,62;
2026 03 12 12:13:15:266;0,26;11;2;11,22;0,63;36,83;3,28;-23,44;
2026 03 12 12:13:15:268;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:270;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:272;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:274;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:276;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:278;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:280;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:282;0,26;11;2;11,22;0,63;36,83;3,28;-11,72;
2026 03 12 12:13:15:284;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:286;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:288;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:290;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:292;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:294;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:296;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:298;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:300;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:302;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:304;0,26;11;2;11,22;0,63;36,83;3,28;-15,62;
2026 03 12 12:13:15:306;0,26;11;2;11,22;0,63;36,83;3,28;-23,44;
2026 03 12 12:13:15:308;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:310;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:312;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:314;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:316;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:318;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:320;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:322;0,26;11;2;11,22;0,63;36,83;3,28;-11,72;
2026 03 12 12:13:15:324;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:326;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:328;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:330;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:332;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:334;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:336;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:338;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:340;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:342;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:344;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:346;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:348;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:350;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:352;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:354;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:356;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:358;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:360;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:362;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:364;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:366;0,26;11;2;11,22;0,63;36,83;3,28;-27,34;
2026 03 12 12:13:15:368;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:370;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:372;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:374;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:376;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:378;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:380;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:382;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:384;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:386;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:388;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:390;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:392;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:394;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:396;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:398;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:400;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:402;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:404;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:406;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:408;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:410;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:412;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:414;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:416;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:418;0,26;11;2;11,22;0,63;36,83;3,28;11,72;
2026 03 12 12:13:15:420;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:422;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:424;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:426;0,26;11;2;11,22;0,63;36,83;3,28;-23,44;
2026 03 12 12:13:15:428;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:430;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:432;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:434;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:436;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:438;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:440;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:442;0,26;11;2;11,22;0,63;36,83;3,28;-11,72;
2026 03 12 12:13:15:444;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:446;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:448;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:450;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:452;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:454;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:456;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:458;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:460;0,26;11;2;11,22;0,63;36,83;3,28;7,81;
2026 03 12 12:13:15:462;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:464;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:466;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:468;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:470;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:472;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:474;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:476;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:478;0,26;11;2;11,22;0,63;36,83;3,28;11,72;
2026 03 12 12:13:15:480;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:482;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:484;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
2026 03 12 12:13:15:486;0,26;11;2;11,22;0,63;36,83;3,28;-27,34;
2026 03 12 12:13:15:488;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:490;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:492;0,26;11;2;11,22;0,63;36,83;3,28;0;
2026 03 12 12:13:15:494;0,26;11;2;11,22;0,63;36,83;3,28;3,91;
2026 03 12 12:13:15:496;0,26;11;2;11,22;0,63;36,83;3,28;19,53;
2026 03 12 12:13:15:498;0,26;11;2;11,22;0,63;36,83;3,28;15,63;
2026 03 12 12:13:15:500;0,26;11;2;11,22;0,63;36,83;3,28;11,72;
2026 03 12 12:13:15:502;0,26;11;2;11,22;0,63;36,83;3,28;-7,81;
2026 03 12 12:13:15:504;0,26;11;2;11,22;0,63;36,83;3,28;-19,53;
